## Sun Mar 19 01:09:13 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_48_length_38369_cov_40.311292_9	205922.Pfl01_3914	1.5e-38	130.0	2DJFC@1|root,305YK@2|Bacteria,1QRH8@1224|Proteobacteria,1RUHB@1236|Gammaproteobacteria,1YQZK@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_48_length_38369_cov_40.311292_10	1470593.BW43_01923	1.11e-116	335.0	COG0431@1|root,COG0431@2|Bacteria,1RICF@1224|Proteobacteria,1S57J@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	fmn reductase	msuE	-	1.5.1.38	ko:K00299	ko00740,ko00920,ko01100,map00740,map00920,map01100	-	R05706,R07210,R10206	RC00126,RC01779,RC02556	ko00000,ko00001,ko01000	-	-	-	FMN_red
NODE_48_length_38369_cov_40.311292_11	1470593.BW43_01922	6.61e-276	754.0	COG2141@1|root,COG2141@2|Bacteria,1MWMV@1224|Proteobacteria,1RP4Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Catalyzes the desulfonation of aliphatic sulfonates	ssuD	-	1.14.14.5	ko:K04091	ko00920,map00920	-	R07210,R10206	RC01779,RC02556	ko00000,ko00001,ko01000	-	-	-	Bac_luciferase
NODE_48_length_38369_cov_40.311292_12	1117958.PE143B_0130060	6.65e-279	763.0	COG1960@1|root,COG1960@2|Bacteria,1MYT7@1224|Proteobacteria,1RRIK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	monooxygenase	msuC	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N
NODE_48_length_38369_cov_40.311292_13	1470593.BW43_01920	1.82e-255	701.0	COG3829@1|root,COG3829@2|Bacteria,1NU8B@1224|Proteobacteria,1T1IJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	-	-	-	ko:K06714	-	-	-	-	ko00000,ko03000	-	-	-	HTH_8,Sigma54_activat
NODE_48_length_38369_cov_40.311292_14	321846.PS417_09445	1.04e-73	221.0	COG1359@1|root,COG1359@2|Bacteria,1N806@1224|Proteobacteria,1STNX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Antibiotic biosynthesis monooxygenase	-	-	-	-	-	-	-	-	-	-	-	-	ABM
NODE_48_length_38369_cov_40.311292_15	1470593.BW43_01918	3.78e-89	263.0	COG0789@1|root,COG0789@2|Bacteria,1RH2U@1224|Proteobacteria,1S6M0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	redox-sensitive transcriptional activator SoxR	soxR	-	-	ko:K13639	-	-	-	-	ko00000,ko03000	-	-	-	MerR,MerR-DNA-bind,MerR_1
NODE_48_length_38369_cov_40.311292_16	1419583.V466_19705	2.35e-168	472.0	COG1464@1|root,COG1464@2|Bacteria,1MUVY@1224|Proteobacteria,1RS3R@1236|Gammaproteobacteria,1YSMI@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	M	NLPA lipoprotein	metQ-2	-	-	ko:K02073	ko02010,map02010	M00238	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.24	-	-	Lipoprotein_9
NODE_48_length_38369_cov_40.311292_17	1419583.V466_19700	7.49e-134	382.0	COG2011@1|root,COG2011@2|Bacteria,1MW8E@1224|Proteobacteria,1RPKY@1236|Gammaproteobacteria,1YTF7@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02072	ko02010,map02010	M00238	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.24	-	-	BPD_transp_1
NODE_48_length_38369_cov_40.311292_18	1124983.PFLCHA0_c42280	1.3e-266	733.0	COG1960@1|root,COG1960@2|Bacteria,1MYND@1224|Proteobacteria,1RNBN@1236|Gammaproteobacteria,1YS1C@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	I	Acyl-CoA dehydrogenase, C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N
NODE_48_length_38369_cov_40.311292_19	1415630.U771_10650	3.02e-86	256.0	COG2764@1|root,COG2764@2|Bacteria,1RF5T@1224|Proteobacteria,1S5YT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	glyoxalase bleomycin resistance protein dioxygenase	-	-	-	ko:K04750	-	-	-	-	ko00000	-	-	-	Glyoxalase
NODE_48_length_38369_cov_40.311292_20	690597.JH730943_gene5027	1.58e-204	566.0	COG0596@1|root,COG0596@2|Bacteria,1MUVB@1224|Proteobacteria,1RP4M@1236|Gammaproteobacteria,1YQER@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Alpha/beta hydrolase family	-	-	3.8.1.3	ko:K01561	ko00361,ko00625,ko01100,ko01120,map00361,map00625,map01100,map01120	-	R05287	RC00697	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_1
NODE_48_length_38369_cov_40.311292_21	690597.JH730943_gene5028	8.86e-274	753.0	COG1301@1|root,COG1301@2|Bacteria,1MU0Q@1224|Proteobacteria,1RMEN@1236|Gammaproteobacteria,1YMQH@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	C	Responsible for the transport of dicarboxylates such as succinate, fumarate, and malate	dctA	-	-	ko:K11103	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.23.1.3,2.A.23.1.6,2.A.23.1.7	-	-	SDF
NODE_48_length_38369_cov_40.311292_22	321846.PS417_09420	1.55e-221	611.0	COG0583@1|root,COG0583@2|Bacteria,1MVJ7@1224|Proteobacteria,1RMNJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulator	-	-	-	ko:K16135	-	-	-	-	ko00000,ko03000	-	-	-	HTH_1,LysR_substrate
NODE_48_length_38369_cov_40.311292_23	690597.JH730943_gene5030	2.26e-255	705.0	COG0477@1|root,COG2814@2|Bacteria,1R6C8@1224|Proteobacteria,1RS48@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EGP	Major Facilitator	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
NODE_48_length_38369_cov_40.311292_24	321846.PS417_09415	2.21e-129	369.0	COG0066@1|root,COG0066@2|Bacteria,1R6KV@1224|Proteobacteria,1RYUI@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate	-	-	4.2.1.33,4.2.1.35	ko:K01704	ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230	M00432,M00535	R03896,R03898,R03968,R04001,R10170	RC00976,RC00977,RC01041,RC01046,RC03072	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase_C
NODE_48_length_38369_cov_40.311292_25	690597.JH730943_gene5035	0.0	888.0	COG0065@1|root,COG0065@2|Bacteria,1MVYR@1224|Proteobacteria,1RMRU@1236|Gammaproteobacteria,1YT6V@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	E	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate	-	-	4.2.1.33,4.2.1.35	ko:K01703	ko00290,ko00660,ko00966,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map00966,map01100,map01110,map01210,map01230	M00432,M00535	R03896,R03898,R03968,R04001,R08620,R08624,R08628,R08634,R08641,R08645,R10170	RC00497,RC00976,RC00977,RC01041,RC01046,RC03072	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase
NODE_48_length_38369_cov_40.311292_26	1470593.BW43_01917	1.64e-263	724.0	COG3182@1|root,COG3182@2|Bacteria,1MW2S@1224|Proteobacteria,1RZFD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Iron-regulated membrane protein	-	-	-	-	-	-	-	-	-	-	-	-	PepSY,PepSY_TM
NODE_48_length_38369_cov_40.311292_27	1415630.U771_10635	1.75e-116	334.0	2DKVK@1|root,30HAM@2|Bacteria,1RERE@1224|Proteobacteria,1S611@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Thiamine pyrophosphate-binding protein	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_48_length_38369_cov_40.311292_28	321846.PS417_09395	1.39e-68	207.0	2E451@1|root,32Z13@2|Bacteria,1N6TT@1224|Proteobacteria,1SF2I@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_48_length_38369_cov_40.311292_29	1282356.H045_05880	7.15e-108	313.0	2E2KX@1|root,32XQ5@2|Bacteria,1N5SI@1224|Proteobacteria,1SNEJ@1236|Gammaproteobacteria,1YQ8R@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	-	-	VPA0161	-	-	-	-	-	-	-	-	-	-	-	-
NODE_48_length_38369_cov_40.311292_30	321846.PS417_09385	1.84e-206	572.0	COG0803@1|root,COG0803@2|Bacteria,1MVW9@1224|Proteobacteria,1RY8W@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Belongs to the bacterial solute-binding protein 9 family	psaA	-	-	ko:K09815	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.3,3.A.1.15.5	-	-	ZnuA
NODE_48_length_38369_cov_40.311292_31	321846.PS417_09380	4.97e-166	465.0	COG1121@1|root,COG1121@2|Bacteria,1MUDW@1224|Proteobacteria,1RPJT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system	znuC	-	-	ko:K09817	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.15.3,3.A.1.15.5	-	-	ABC_tran
NODE_48_length_38369_cov_40.311292_32	1415630.U771_10610	4.37e-190	530.0	COG1108@1|root,COG1108@2|Bacteria,1MVC2@1224|Proteobacteria,1RPYF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	COG1108 ABC-type Mn2 Zn2 transport systems permease components	-	-	-	ko:K09816	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.3,3.A.1.15.5	-	-	ABC-3
NODE_48_length_38369_cov_40.311292_33	1282356.H045_05860	9.46e-169	478.0	COG0803@1|root,COG0803@2|Bacteria,1N69A@1224|Proteobacteria,1SAUM@1236|Gammaproteobacteria,1YM7W@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	P	Zinc-uptake complex component A periplasmic	VPA0165	-	-	-	-	-	-	-	-	-	-	-	ZnuA
NODE_48_length_38369_cov_40.311292_35	321846.PS417_19500	4.26e-47	150.0	COG3251@1|root,COG3251@2|Bacteria,1NH51@1224|Proteobacteria,1SZRC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Antibiotic synthesis protein MbtH	-	-	-	ko:K05375	ko00261,ko01130,map00261,map01130	M00736	R10880	RC00064,RC00141,RC03296,RC03297,RC03298	ko00000,ko00001,ko00002	-	-	-	MbtH
NODE_48_length_38369_cov_40.311292_36	1282356.H045_12845	0.0	877.0	COG0160@1|root,COG0160@2|Bacteria,1MWY6@1224|Proteobacteria,1RQKU@1236|Gammaproteobacteria,1YN18@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	E	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	pvdH	-	2.6.1.76	ko:K00836	ko00260,ko01100,ko01120,ko01210,ko01230,map00260,map01100,map01120,map01210,map01230	M00033	R06977	RC00006,RC00062	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	iJN746.PP_4223	Aminotran_3
NODE_48_length_38369_cov_40.311292_37	1282356.H045_12850	1.22e-154	437.0	COG3023@1|root,COG3023@2|Bacteria,1RDHU@1224|Proteobacteria,1RMDN@1236|Gammaproteobacteria,1YQ7Q@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	V	Ami_2	amiD2	-	3.4.16.4,3.5.1.28	ko:K01447,ko:K21469	ko00550,map00550	-	R04112	RC00064,RC00141	ko00000,ko00001,ko01000,ko01002,ko01011	-	-	-	Amidase_2,Beta-lactamase,PG_binding_1,SH3_3
NODE_48_length_38369_cov_40.311292_38	216595.PFLU_4380	2.81e-282	775.0	COG0642@1|root,COG0642@2|Bacteria,1Q6FW@1224|Proteobacteria,1RZ50@1236|Gammaproteobacteria,1YPE2@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	T	Histidine kinase	qseC	-	2.7.13.3	ko:K02484	-	-	-	-	ko00000,ko01000,ko01001,ko02022	-	-	-	2CSK_N,HATPase_c,HisKA
NODE_48_length_38369_cov_40.311292_39	216595.PFLU_4381	1.85e-141	401.0	COG0745@1|root,COG0745@2|Bacteria,1RA6Z@1224|Proteobacteria,1SYDG@1236|Gammaproteobacteria,1YPJP@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	K	response regulator	qseB	-	-	ko:K02483,ko:K07666	ko02020,ko02024,map02020,map02024	M00453	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	Response_reg,Trans_reg_C
NODE_48_length_38369_cov_40.311292_40	1415630.U771_22830	0.0	1056.0	COG4232@1|root,COG4232@2|Bacteria,1MU8W@1224|Proteobacteria,1RPF7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	CO	Required to facilitate the formation of correct disulfide bonds in some periplasmic proteins and for the assembly of the periplasmic c-type cytochromes. Acts by transferring electrons from cytoplasmic thioredoxin to the periplasm. This transfer involves a cascade of disulfide bond formation and reduction steps	dsbD	-	1.8.1.8	ko:K04084	-	-	-	-	ko00000,ko01000,ko03110	5.A.1.1	-	-	DsbC,DsbD,Thioredoxin,Thioredoxin_7
NODE_48_length_38369_cov_40.311292_41	1415630.U771_22835	4.87e-179	501.0	COG0526@1|root,COG0526@2|Bacteria,1RAW3@1224|Proteobacteria,1SYK6@1236|Gammaproteobacteria	1236|Gammaproteobacteria	CO	Redoxin	-	-	-	-	-	-	-	-	-	-	-	-	AhpC-TSA,LGT,Redoxin
NODE_48_length_38369_cov_40.311292_42	690597.JH730914_gene3930	1.51e-158	447.0	COG1651@1|root,COG1651@2|Bacteria,1NEFD@1224|Proteobacteria,1RQAW@1236|Gammaproteobacteria,1YNRJ@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	O	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process	dsbG	GO:0003674,GO:0003756,GO:0003824,GO:0005575,GO:0005623,GO:0008150,GO:0008152,GO:0015035,GO:0015036,GO:0016491,GO:0016667,GO:0016853,GO:0016860,GO:0016864,GO:0042597,GO:0044464,GO:0055114,GO:0140096	-	ko:K03805	-	-	-	-	ko00000,ko03110	-	-	iECO111_1330.ECO111_0636,iECO26_1355.ECO26_0680,iEcE24377_1341.EcE24377A_0625,iG2583_1286.G2583_0768	Thioredoxin_2
NODE_49_length_37565_cov_42.569702_1	1282356.H045_06255	5.86e-313	907.0	COG3209@1|root,COG3209@2|Bacteria,1MVV1@1224|Proteobacteria,1SKYM@1236|Gammaproteobacteria,1YR6Z@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	M	RHS Repeat	-	-	-	-	-	-	-	-	-	-	-	-	Pertussis_S1,RHS,RHS_repeat,Tox-HNH-EHHH
NODE_49_length_37565_cov_42.569702_3	1114970.PSF113_2534	1.17e-190	533.0	COG2207@1|root,COG2207@2|Bacteria,1N0TE@1224|Proteobacteria,1S8E8@1236|Gammaproteobacteria,1YM52@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	K	Transcriptional regulator, AraC family	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding_2,HTH_18
NODE_49_length_37565_cov_42.569702_4	930166.CD58_15330	2.25e-91	273.0	2C96D@1|root,32T4A@2|Bacteria,1N661@1224|Proteobacteria,1SAS4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3156)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3156
NODE_49_length_37565_cov_42.569702_5	1470593.BW43_05263	0.0	932.0	COG0531@1|root,COG0531@2|Bacteria,1R4PP@1224|Proteobacteria,1RS90@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	amino acid	-	-	-	-	-	-	-	-	-	-	-	-	AA_permease_2
NODE_49_length_37565_cov_42.569702_6	930166.CD58_15340	1.88e-279	768.0	COG3203@1|root,COG3203@2|Bacteria,1MWEA@1224|Proteobacteria,1RXX8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Forms passive diffusion pores that allow small molecular weight hydrophilic materials across the outer membrane	-	-	-	-	-	-	-	-	-	-	-	-	Alginate_exp
NODE_49_length_37565_cov_42.569702_7	1470593.BW43_05262	9.61e-105	309.0	COG1853@1|root,COG1853@2|Bacteria,1RGYM@1224|Proteobacteria,1RSQV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	COG1853 Conserved protein domain typically associated with flavoprotein oxygenases, DIM6 NTAB family	C1-hpah	-	-	-	-	-	-	-	-	-	-	-	Flavin_Reduct
NODE_49_length_37565_cov_42.569702_8	1415630.U771_15550	2.93e-279	763.0	COG1960@1|root,COG1960@2|Bacteria,1MXMQ@1224|Proteobacteria,1RMG8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	acyl-CoA dehydrogenase	C2-hpah	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_2,Acyl-CoA_dh_N
NODE_49_length_37565_cov_42.569702_9	1470593.BW43_05260	0.0	903.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,1RMBQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	belongs to the aldehyde dehydrogenase family	feaB	-	1.2.1.39	ko:K00146	ko00360,ko00643,ko01100,ko01120,map00360,map00643,map01100,map01120	-	R02536	RC00080	ko00000,ko00001,ko01000	-	-	-	Aldedh
NODE_49_length_37565_cov_42.569702_10	1415630.U771_11700	0.0	1040.0	COG0405@1|root,COG0405@2|Bacteria,1MUV6@1224|Proteobacteria,1RMIT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Gamma-glutamyltransferase	ggt_1	-	2.3.2.2,3.4.19.13	ko:K00681	ko00430,ko00460,ko00480,ko01100,map00430,map00460,map00480,map01100	-	R00494,R01262,R01687,R03867,R03916,R03970,R03971,R04935	RC00064,RC00090,RC00096	ko00000,ko00001,ko01000,ko01002	-	-	-	G_glu_transpept
NODE_49_length_37565_cov_42.569702_11	1415630.U771_11695	1.56e-254	699.0	COG0687@1|root,COG0687@2|Bacteria,1MUYW@1224|Proteobacteria,1RM7W@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Required for the activity of the bacterial periplasmic transport system of putrescine	potF	-	-	ko:K11073	ko02010,map02010	M00300	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11.2	-	-	SBP_bac_8
NODE_49_length_37565_cov_42.569702_12	1038922.PflQ2_2586	3.22e-172	482.0	COG1126@1|root,COG1126@2|Bacteria,1MU9Q@1224|Proteobacteria,1RMX1@1236|Gammaproteobacteria,1YNM6@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	E	ABC transporter	-	-	3.6.3.21	ko:K02028,ko:K02029,ko:K09972,ko:K10004	ko02010,ko02020,map02010,map02020	M00230,M00232,M00236	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.3,3.A.1.3.17,3.A.1.3.18,3.A.1.3.19,3.A.1.3.4,3.A.1.3.7,3.A.1.3.8	-	-	ABC_tran
NODE_49_length_37565_cov_42.569702_13	321846.PS417_18125	1.88e-175	490.0	COG0765@1|root,COG0765@2|Bacteria,1P3W6@1224|Proteobacteria,1SZ4I@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Amino Acid ABC Transporter Permease	-	-	-	ko:K02029	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	BPD_transp_1
NODE_49_length_37565_cov_42.569702_14	1415630.U771_11680	1.96e-182	508.0	COG0834@1|root,COG0834@2|Bacteria,1RFNY@1224|Proteobacteria	1224|Proteobacteria	ET	ABC transporter substrate-binding protein	-	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	SBP_bac_3
NODE_49_length_37565_cov_42.569702_15	321846.PS417_18135	1.27e-146	414.0	COG1802@1|root,COG1802@2|Bacteria,1REY3@1224|Proteobacteria	1224|Proteobacteria	K	GntR family	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
NODE_49_length_37565_cov_42.569702_16	321846.PS417_06990	5.2e-103	300.0	2ANPA@1|root,31DNS@2|Bacteria,1REM3@1224|Proteobacteria,1SY9Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3833)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3833
NODE_49_length_37565_cov_42.569702_17	1221522.B723_16480	3.16e-50	160.0	2E2CT@1|root,32XHQ@2|Bacteria,1N29V@1224|Proteobacteria,1SC30@1236|Gammaproteobacteria,1YQNP@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	cation transporter	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_49_length_37565_cov_42.569702_18	1221522.B723_16485	0.0	947.0	COG3046@1|root,COG3046@2|Bacteria,1MUHX@1224|Proteobacteria,1RNUM@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	protein related to deoxyribodipyrimidine photolyase	-	-	-	ko:K06876	-	-	-	-	ko00000	-	-	-	DPRP
NODE_49_length_37565_cov_42.569702_19	690597.JH730961_gene4586	1.12e-209	590.0	COG0477@1|root,COG2814@2|Bacteria	2|Bacteria	EGP	Major facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
NODE_49_length_37565_cov_42.569702_20	243924.LT42_03970	3.44e-79	238.0	2EQGN@1|root,33I2N@2|Bacteria,1NHV4@1224|Proteobacteria,1SQAK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_49_length_37565_cov_42.569702_21	1211112.ALJC01000121_gene345	0.0	1162.0	COG4772@1|root,COG4772@2|Bacteria,1MUIH@1224|Proteobacteria,1RZ1Q@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,TonB_dep_Rec
NODE_49_length_37565_cov_42.569702_22	1211112.ALJC01000121_gene349	5.95e-250	690.0	COG1960@1|root,COG1960@2|Bacteria,1MYT7@1224|Proteobacteria,1RRIK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	monooxygenase	msuC	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N
NODE_49_length_37565_cov_42.569702_23	1211112.ALJC01000121_gene350	3.74e-219	609.0	COG3829@1|root,COG3829@2|Bacteria,1NU8B@1224|Proteobacteria,1T1IJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	-	-	-	ko:K06714	-	-	-	-	ko00000,ko03000	-	-	-	HTH_8,Sigma54_activat
NODE_49_length_37565_cov_42.569702_24	216142.LT40_12080	4.33e-311	862.0	COG1132@1|root,COG1132@2|Bacteria,1MUBM@1224|Proteobacteria,1RMUR@1236|Gammaproteobacteria	1236|Gammaproteobacteria	V	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation	mdlB	-	-	ko:K06147,ko:K18893	ko02010,map02010	-	-	-	ko00000,ko00001,ko02000	3.A.1,3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
NODE_49_length_37565_cov_42.569702_25	1415630.U771_14565	3.71e-59	189.0	COG1247@1|root,COG1247@2|Bacteria,1QU6B@1224|Proteobacteria	1224|Proteobacteria	M	PFAM GCN5-related N-acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1
NODE_49_length_37565_cov_42.569702_26	1211112.ALJC01000100_gene1942	2.92e-219	619.0	COG0477@1|root,COG2814@2|Bacteria,1MUDA@1224|Proteobacteria,1RP1M@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EGP	Major facilitator superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1,MFS_3,Sugar_tr,TRI12
NODE_49_length_37565_cov_42.569702_27	1206777.B195_21735	6.56e-246	680.0	COG1960@1|root,COG1960@2|Bacteria,1MVSM@1224|Proteobacteria,1TF1D@1236|Gammaproteobacteria,1Z9QV@136849|Pseudomonas syringae group	1236|Gammaproteobacteria	I	Acyl-CoA dehydrogenase, C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_2
NODE_49_length_37565_cov_42.569702_28	1211112.ALJC01000115_gene3402	0.0	909.0	COG1123@1|root,COG4172@2|Bacteria,1MU09@1224|Proteobacteria,1RYH8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Belongs to the ABC transporter superfamily	-	-	-	ko:K02031,ko:K02032	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	ABC_tran,oligo_HPY
NODE_49_length_37565_cov_42.569702_29	1206777.B195_21725	3.35e-172	484.0	COG1173@1|root,COG1173@2|Bacteria,1PFH7@1224|Proteobacteria,1RYEG@1236|Gammaproteobacteria,1ZAJG@136849|Pseudomonas syringae group	1236|Gammaproteobacteria	U	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02034	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
NODE_49_length_37565_cov_42.569702_30	1206777.B195_21720	3.39e-196	548.0	COG0601@1|root,COG0601@2|Bacteria,1MUMR@1224|Proteobacteria,1RXXQ@1236|Gammaproteobacteria,1ZAIV@136849|Pseudomonas syringae group	1236|Gammaproteobacteria	U	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02033	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
NODE_49_length_37565_cov_42.569702_31	1206777.B195_21715	0.0	993.0	COG0747@1|root,COG0747@2|Bacteria,1P1HT@1224|Proteobacteria,1RPYQ@1236|Gammaproteobacteria,1ZAKK@136849|Pseudomonas syringae group	1236|Gammaproteobacteria	E	Bacterial extracellular solute-binding proteins, family 5 Middle	-	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5
